"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","727","Создания юзера","API tests","Thu Oct 02 18:41:35 GMT 2025","passed","Thu Oct 02 18:41:36 GMT 2025","TestBase","test_base","",""
"","125","Получение данных юзера","API tests","Thu Oct 02 18:02:57 GMT 2025","passed","Thu Oct 02 18:02:57 GMT 2025","TestUsers","test_users","",""
"","173","Изменение данных юзера","API tests","Thu Oct 02 18:02:57 GMT 2025","passed","Thu Oct 02 18:02:57 GMT 2025","TestUsers","test_users","",""
