"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 07:53:50 GMT 2025","Thu Sep 11 07:53:51 GMT 2025","960","API tests","test_base","TestBase","","","Создания юзера",""
"passed","Thu Sep 11 07:53:53 GMT 2025","Thu Sep 11 07:53:53 GMT 2025","154","API tests","test_users","TestUsers","","","Получение данных юзера",""
