"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137","Получение данных юзера","API tests","Thu Oct 02 16:07:43 GMT 2025","passed","Thu Oct 02 16:07:43 GMT 2025","TestUsers","test_users","",""
"","900","Создания юзера","API tests","Thu Oct 02 16:06:45 GMT 2025","passed","Thu Oct 02 16:06:46 GMT 2025","TestBase","test_base","",""
"","182","Изменение данных юзера","API tests","Thu Oct 02 16:07:43 GMT 2025","passed","Thu Oct 02 16:07:43 GMT 2025","TestUsers","test_users","",""
