"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 08:04:28 GMT 2025","Thu Sep 11 08:04:28 GMT 2025","126","API tests","test_users","TestUsers","","","Получение данных юзера",""
"passed","Thu Sep 11 08:03:51 GMT 2025","Thu Sep 11 08:03:51 GMT 2025","750","API tests","test_base","TestBase","","","Создания юзера",""
