"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","891","Создания юзера","API tests","Thu Oct 02 16:39:48 GMT 2025","passed","Thu Oct 02 16:39:49 GMT 2025","TestBase","test_base","",""
"","251","Изменение данных юзера","API tests","Thu Oct 02 16:10:52 GMT 2025","passed","Thu Oct 02 16:10:52 GMT 2025","TestUsers","test_users","",""
"","136","Получение данных юзера","API tests","Thu Oct 02 16:10:52 GMT 2025","passed","Thu Oct 02 16:10:52 GMT 2025","TestUsers","test_users","",""
