"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 08:02:12 GMT 2025","Thu Sep 11 08:02:13 GMT 2025","960","API tests","test_base","TestBase","","","Создания юзера",""
"passed","Thu Sep 11 07:54:24 GMT 2025","Thu Sep 11 07:54:25 GMT 2025","122","API tests","test_users","TestUsers","","","Получение данных юзера",""
